bid_id,source,sink,quantity,price
B129,13,6,40,24
B130,4,8,50,8
B131,3,14,70,29
B132,18,11,120,30
B133,16,22,40,9
B134,17,14,30,13
B135,13,11,90,8
B136,15,5,150,20
B137,24,8,70,21
B138,3,22,70,26
B139,10,16,110,29
B140,22,11,70,10
B141,24,16,30,20
B142,9,6,80,25
B143,6,13,110,33
B144,2,11,120,18
B145,1,7,100,12
B146,10,13,120,13
B147,20,18,160,11
B148,3,24,50,11
B149,19,5,160,16
B150,16,10,30,12
B151,6,13,130,16
B152,10,18,170,14
B153,5,13,60,13
B154,13,5,70,27
B155,24,13,110,26
B156,8,15,100,16
B157,17,19,160,21
B158,2,14,120,9
B159,15,16,100,20
B160,3,1,150,27
B161,14,3,90,28
B162,7,3,30,20
B163,13,17,90,17
B164,21,8,170,17
B165,16,2,30,26
B166,17,11,110,29
B167,6,13,230,23
B168,2,7,130,28
B169,8,14,80,9
B170,6,15,150,26
B171,4,1,60,20
B172,2,24,90,10
B173,19,22,60,14
B174,14,13,130,28
B175,23,24,140,19
B176,19,18,70,28
B177,16,19,70,29
B178,12,6,120,8
B179,14,16,100,21
B180,12,18,130,21
B181,9,21,120,8
B182,24,10,150,27
B183,2,12,160,8
B184,23,6,150,23
B185,24,11,100,10
B186,20,4,50,16
B187,3,22,160,26
B188,12,7,160,17
B189,16,7,160,25
B190,19,2,110,24
B191,2,22,60,24
B192,9,23,120,24
B193,19,4,80,30
B194,11,20,150,25
B195,8,5,110,23
B196,14,10,70,9
B197,5,11,40,17
B198,14,15,60,20
B199,22,7,80,24
B200,19,8,40,22
B201,3,24,220,21
B202,20,24,60,25
B203,7,23,150,27
B204,24,9,60,18
B205,14,22,80,8
B206,14,13,30,25
B207,18,3,140,30
B208,9,19,90,18
B209,8,7,140,27
B210,22,2,70,18
B211,17,22,30,28
B212,14,20,40,16
B213,2,16,160,9
B214,22,17,40,27
B215,1,20,110,12
B216,14,8,160,25
B217,11,16,70,18
B218,5,17,160,27
B219,1,14,230,23
B220,24,5,150,9
B221,12,21,110,26
B222,10,23,100,15
B223,6,8,110,23
B224,6,22,90,30
B225,1,14,80,33
B226,5,9,140,10
B227,3,8,160,18
B228,1,20,110,14
B229,22,2,140,10
B230,1,8,120,10
B231,22,15,130,9
B232,19,12,40,24
B233,10,7,90,25
B234,6,11,140,29
B235,8,21,240,30
B236,18,19,60,23
B237,20,9,120,27
B238,22,13,80,17
B239,5,19,140,29
B240,3,23,130,21
B241,5,2,150,14
B242,21,23,140,16
B243,14,1,190,20
B244,6,23,170,23
B245,22,8,150,11
B246,12,24,140,17
B247,23,3,50,23
B248,23,1,40,14
B249,16,14,70,15
B250,22,19,50,22
B251,8,21,110,13
B252,14,17,80,8
B253,16,4,90,19
B254,22,12,80,16
B255,17,16,110,18
B256,10,18,120,33
B257,1,14,190,15
B258,16,11,80,26
B259,4,23,100,27
B260,20,9,60,10
B261,7,21,110,14
B262,16,8,160,13
B263,18,7,130,25
B264,14,1,210,30
B265,4,13,160,26
B266,9,5,60,18
B267,19,20,40,25
B268,14,23,130,18
B269,10,18,180,22
B270,1,12,70,23
B271,6,23,150,12
B272,14,2,90,16
B273,18,11,150,16
B274,5,9,40,22
B275,22,9,30,17
B276,14,7,140,11
B277,22,6,120,11
B278,6,23,90,28
B279,23,6,230,26
B280,2,20,60,30
B281,18,16,50,9
B282,20,9,80,20
B283,21,8,170,34
B284,19,1,110,13
B285,10,5,160,30
B286,3,24,100,20
B287,21,23,110,30
B288,1,15,70,26
B289,22,5,100,20
B290,5,17,130,14
B291,4,16,140,27
B292,1,21,150,9
B293,23,6,90,30
B294,14,22,130,30
B295,10,18,120,17
B296,17,5,30,18
B297,13,22,110,27
B298,20,21,100,21
B299,21,15,140,24
B300,24,4,90,9
B301,23,6,220,33
B302,5,13,100,22
B303,13,24,130,28
B304,21,19,110,15
B305,23,22,80,19
B306,12,23,120,27
B307,20,5,70,15
B308,8,21,130,22
B309,13,12,110,9
B310,3,24,100,25
B311,2,5,30,25
B312,6,19,40,16
B313,19,17,140,23
B314,20,5,70,30
B315,19,21,110,14
B316,2,20,70,18
B317,5,7,70,24
B318,21,8,210,31
B319,4,3,70,13
B320,20,22,60,27
B321,10,18,60,28
B322,15,23,40,12
B323,5,12,50,9
B324,21,20,80,25
B325,3,16,110,27
B326,23,2,40,11
B327,6,2,150,14
B328,16,4,180,25
B329,4,16,170,15
B330,19,14,90,12
B331,23,3,30,10
B332,11,2,160,12
B333,1,4,70,29
B334,24,3,190,21
B335,14,20,80,26
B336,16,21,150,30
B337,5,6,90,17
B338,10,18,100,19
B339,8,13,130,19
B340,1,14,160,16
B341,12,3,160,25
B342,1,12,80,15
B343,14,5,140,27
B344,20,9,60,25
B345,24,9,120,28
B346,24,3,180,17
B347,2,16,120,20
B348,22,20,60,26
B349,2,5,30,16
B350,7,14,160,24
B351,9,6,80,9
B352,19,6,30,19
B353,1,9,50,17
B354,10,15,120,14
B355,24,11,90,25
B356,2,12,140,23
B357,5,6,160,9
B358,11,15,60,13
B359,19,22,60,11
B360,14,4,160,24
B361,16,6,30,20
B362,1,20,90,27
B363,3,24,100,28
B364,6,10,70,24
B365,14,2,70,21
B366,17,2,130,9
B367,10,18,80,15
B368,22,6,140,13
B369,2,4,110,14
B370,7,11,160,15
B371,7,16,30,24
B372,13,7,130,19
B373,16,13,110,14
B374,16,14,100,24
B375,3,11,150,23
B376,19,16,30,15
B377,14,10,40,22
B378,22,10,50,29
B379,1,21,40,14
B380,10,16,100,22
B381,5,19,40,22
B382,21,7,50,13
B383,16,4,180,27
B384,2,14,150,15
B385,11,21,120,10
B386,4,14,120,19
B387,11,12,160,25
B388,7,24,150,20
B389,17,21,160,25
B390,21,16,50,24
B391,18,20,150,24
B392,14,11,60,11
B393,2,12,100,14
B394,6,23,160,35
B395,14,17,120,11
B396,22,1,120,29
B397,20,23,50,18
B398,13,17,160,10
B399,2,11,110,13
B400,12,16,90,21
B401,6,22,30,23
B402,6,14,90,17
B403,12,2,60,9
B404,20,13,150,15
B405,1,14,140,35
B406,14,5,160,21
B407,7,2,130,18
B408,15,11,140,19
B409,7,14,80,11
B410,6,1,140,14
B411,16,12,120,24
B412,23,4,90,25
B413,11,12,90,9
B414,10,18,180,19
B415,23,15,110,9
B416,17,2,40,19
B417,21,15,100,29
B418,14,13,110,9
B419,23,6,200,31
B420,24,8,130,21
B421,13,6,230,17
B422,21,8,120,9
B423,3,24,100,30
B424,1,14,240,29
B425,21,23,30,26
B426,23,6,230,21
B427,10,18,160,12
B428,6,1,120,30
B429,20,6,40,16
B430,16,23,50,9
B431,3,7,100,16
B432,16,22,160,30
B433,21,8,130,34
B434,5,14,110,18
B435,18,6,160,10
B436,3,8,60,24
B437,13,7,90,18
B438,10,18,110,27
B439,18,2,120,13
B440,16,13,120,22
B441,19,21,130,16
B442,1,15,140,21
B443,23,18,150,9
B444,7,18,110,18
B445,8,21,120,16
B446,21,22,40,15
B447,11,6,100,25
B448,19,3,40,14
B449,16,4,100,9
B450,2,12,30,19
B451,2,7,130,10
B452,7,3,100,20
B453,14,4,70,16
B454,4,16,210,32
B455,22,3,50,19
B456,23,16,70,12
B457,23,22,70,21
B458,16,9,90,20
B459,23,12,120,15
B460,17,9,160,27
B461,8,4,140,17
B462,13,7,110,28
B463,11,1,150,24
B464,23,13,30,15
B465,21,7,80,16
B466,8,21,120,30
B467,17,3,150,13
B468,15,8,70,23
B469,1,18,110,17
B470,2,3,120,12
B471,21,18,40,13
B472,15,20,80,24
B473,19,3,90,11
B474,18,10,200,26
B475,5,2,120,20
B476,8,9,80,18
B477,18,17,140,22
B478,15,11,60,14
B479,17,16,50,24
B480,7,23,160,27
B481,8,12,140,8
B482,11,10,80,19
B483,19,20,60,25
B484,12,9,60,26
B485,6,23,130,23
B486,1,22,140,30
B487,23,7,60,12
B488,16,4,180,17
B489,1,7,100,8
B490,16,8,120,30
B491,21,8,110,20
B492,11,16,110,15
B493,22,10,160,29
B494,3,12,150,25
B495,5,2,60,22
B496,24,21,90,30
B497,4,15,130,16
B498,23,6,170,20
B499,7,10,30,14
B500,14,2,50,30
B501,8,21,210,28
B502,21,24,110,26
B503,14,20,150,9
B504,20,22,140,18
B505,12,7,130,11
B506,23,6,130,18
B507,13,9,90,15
B508,13,14,110,20
B509,13,21,70,22
B510,11,1,40,15
B511,9,21,40,16
B512,8,6,60,17
B513,2,8,130,28
B514,21,13,70,29
B515,4,21,80,20
B516,12,23,130,28
B517,15,8,160,10
B518,1,16,100,19
B519,10,18,130,17
B520,23,5,160,16
B521,3,24,200,14
B522,17,16,150,16
B523,21,8,210,34
B524,10,18,210,31
B525,12,23,100,8
B526,11,3,100,24
B527,7,18,120,19
B528,6,23,160,27
B529,23,16,150,18
B530,19,1,80,12
B531,10,18,80,34
B532,13,14,110,22
B533,23,10,100,10
B534,3,9,120,26
B535,13,2,130,17
B536,19,11,60,30
B537,16,19,50,18
B538,20,24,110,23
B539,6,23,120,21
B540,13,4,110,13
B541,8,19,40,26
B542,1,23,130,18
B543,14,7,40,21
B544,7,15,40,28
B545,6,13,140,14
B546,19,10,160,20
B547,18,1,120,23
B548,13,11,30,12
B549,9,16,120,22
B550,9,15,120,29
B551,8,23,70,23
B552,22,11,110,14
B553,24,3,210,33
B554,10,15,150,17
B555,14,19,140,22
B556,13,22,40,20
B557,14,23,60,23
B558,9,17,160,10
B559,19,24,90,27
B560,15,10,100,27
B561,7,10,40,24
B562,7,2,50,26
B563,3,24,140,34
B564,7,15,130,8
B565,12,22,70,10
B566,16,21,150,11
B567,11,20,70,24
B568,21,18,70,28
B569,3,24,220,30
B570,20,18,120,26
B571,15,21,120,15
B572,24,15,50,29
B573,14,5,40,20
B574,1,24,100,11
B575,11,15,60,28
B576,13,9,80,30
B577,21,8,130,22
B578,7,3,80,23
B579,9,15,120,17
B580,7,23,30,24
B581,18,11,70,24
B582,10,18,220,32
B583,9,7,120,12
B584,15,6,110,17
B585,17,20,100,10
B586,15,1,70,30
B587,4,10,120,15
B588,10,12,120,27
B589,3,24,130,32
B590,1,3,70,9
B591,21,4,120,30
B592,16,19,120,9
B593,15,12,110,27
B594,16,5,160,24
B595,13,6,80,20
B596,15,13,30,21
B597,15,1,110,12
B598,3,7,50,22
B599,9,16,160,19
B600,18,4,130,26
B601,9,6,30,29
B602,6,13,100,18
B603,3,19,110,19
B604,21,6,80,8
B605,11,14,160,24
B606,18,2,60,20
B607,15,8,30,22
B608,24,7,120,19
B609,14,6,80,17
B610,17,18,110,13
B611,2,16,140,22
B612,14,7,150,9
B613,13,6,130,16
B614,20,10,160,16
B615,23,6,210,16
B616,6,13,240,20
B617,14,20,130,14
B618,11,17,50,25
B619,3,12,160,9
B620,5,24,80,16
B621,1,14,140,35
B622,11,17,60,13
B623,22,1,110,20
B624,1,10,160,21
B625,9,20,130,30
B626,6,13,150,27
B627,8,22,60,23
B628,12,19,80,22
B629,4,24,130,20
B630,11,24,150,27
B631,21,8,150,12
B632,15,18,150,25
B633,16,17,90,10
B634,23,12,130,30
B635,12,2,80,28
B636,15,14,70,28
B637,4,21,30,23
B638,17,24,70,22
B639,14,3,30,17
B640,13,12,50,18
B641,12,14,90,22
B642,22,13,150,10
B643,23,12,150,25
B644,2,16,160,14
B645,13,24,90,19
B646,7,13,30,11
B647,17,12,150,10
B648,10,22,80,12
B649,10,13,40,8
B650,16,2,60,10
B651,8,18,60,29
B652,14,1,210,25
B653,22,7,50,13
B654,3,13,90,27
B655,23,24,60,25
B656,6,1,30,23
B657,17,5,30,25
B658,16,2,50,17
B659,12,19,120,27
B660,22,14,130,17
B661,3,13,90,27
B662,10,18,100,25
B663,8,21,150,21
B664,9,11,40,26
B665,13,2,120,30
B666,16,23,120,26
B667,2,23,110,23
B668,1,14,190,29
B669,8,15,60,26
B670,10,24,100,11
B671,22,9,90,13
B672,8,21,140,30
B673,20,10,30,17
B674,18,7,40,27
B675,16,19,90,29
B676,14,21,90,13
B677,23,5,70,15
B678,22,3,160,22
B679,11,7,60,16
B680,17,15,130,15
B681,3,24,80,18
B682,18,10,70,12
B683,2,15,70,26
B684,13,23,100,28
B685,16,15,50,27
B686,9,10,120,25
B687,8,20,30,27
B688,10,18,230,33
B689,23,10,80,27
B690,16,10,100,26
B691,11,3,120,25
B692,23,4,140,13
B693,3,14,40,23
B694,15,16,80,21
B695,21,15,120,27
B696,5,14,30,27
B697,23,1,160,18
B698,6,10,40,30
B699,19,1,160,13
B700,16,9,160,24
B701,10,18,150,24
B702,4,17,90,23
B703,23,6,90,13
B704,8,6,160,22
B705,5,13,120,24
B706,13,9,110,24
B707,24,21,110,16
B708,3,9,40,29
B709,6,13,220,34
B710,10,18,180,24
B711,5,6,40,10
B712,7,18,120,26
B713,18,8,120,18
B714,1,3,40,11
B715,10,18,80,34
B716,6,4,120,19
B717,24,3,160,13
B718,14,2,160,18
B719,11,9,30,8
B720,21,6,70,8
B721,6,15,110,19
B722,10,19,150,8
B723,5,21,160,25
B724,7,18,120,16
B725,18,11,150,13
B726,10,18,210,33
B727,15,6,140,29
B728,23,19,140,23
B729,17,8,40,8
B730,14,9,120,12
B731,15,14,110,22
B732,13,24,70,11
B733,17,19,80,10
B734,6,20,100,15
B735,21,15,80,15
B736,8,21,210,16
B737,11,2,110,28
B738,14,8,80,29
B739,13,16,80,17
B740,3,8,120,22
B741,13,7,90,9
B742,22,9,80,24
B743,15,5,110,12
B744,12,19,110,12
B745,21,8,160,20
B746,5,20,130,15
B747,21,8,220,26
B748,6,24,130,25
B749,21,18,150,22
B750,19,20,60,30
B751,8,21,150,21
B752,21,1,90,26
B753,13,9,140,25
B754,18,10,110,21
B755,24,9,160,30
B756,4,16,100,28
B757,6,15,80,21
B758,20,15,110,16
B759,10,18,170,22
B760,24,22,50,16
B761,8,16,60,22
B762,12,7,140,26
B763,11,19,30,11
B764,13,6,140,28
B765,22,9,30,9
B766,10,18,200,12
B767,8,4,80,28
B768,17,7,160,12
B769,18,10,130,9
B770,16,4,90,25
B771,9,8,60,20
B772,9,19,130,25
B773,16,5,150,27
B774,9,10,40,23
B775,14,10,40,19
B776,10,18,220,26
B777,18,22,90,14
B778,23,4,120,27
B779,14,13,160,15
B780,13,18,50,24
B781,1,12,50,10
B782,14,6,40,19
B783,24,12,130,26
B784,18,9,110,16
B785,20,22,130,13
B786,3,24,210,22
B787,22,21,50,25
B788,20,17,70,23
B789,12,1,90,22
B790,8,21,210,27
B791,1,16,120,16
B792,12,8,160,26
B793,6,19,140,25
B794,8,21,190,25
B795,24,4,90,22
B796,6,13,150,13
B797,1,8,140,9
B798,9,15,50,13
B799,22,11,130,24
B800,21,8,50,27
B801,8,2,50,24
B802,6,3,130,30
B803,5,2,50,14
B804,15,20,120,19
B805,8,21,160,21
B806,6,19,110,8
B807,18,9,130,13
B808,8,4,70,21
B809,23,11,60,14
B810,5,16,140,29
B811,15,21,120,11
B812,2,20,30,29
B813,12,19,150,19
B814,10,20,120,12
B815,21,11,50,14
B816,3,24,190,27
B817,8,21,200,19
B818,13,18,90,12
B819,2,1,160,12
B820,10,4,120,26
B821,2,17,110,23
B822,18,3,40,21
B823,23,17,150,22
B824,13,7,90,15
B825,3,18,130,25
B826,17,9,80,10
B827,11,22,100,16
B828,22,6,30,16
B829,23,6,120,16
B830,1,14,230,25
B831,13,6,130,32
B832,1,14,220,14
B833,12,3,100,18
B834,10,18,110,31
B835,5,4,30,29
B836,15,10,90,14
B837,5,24,50,18
B838,16,4,220,28
B839,16,6,80,14
B840,5,15,120,12
B841,2,11,90,9
B842,14,2,160,26
B843,23,6,170,29
B844,7,4,140,23
B845,18,9,40,25
B846,18,11,50,21
B847,13,1,50,29
B848,15,21,90,14
B849,24,18,70,11
B850,22,16,150,8
B851,15,6,40,8
B852,3,10,110,15
B853,6,9,30,23
B854,21,10,50,13
B855,5,10,80,16
B856,20,10,60,11
B857,15,2,40,24
B858,4,13,110,26
B859,7,11,160,20
B860,10,22,110,9
B861,8,21,120,24
B862,11,24,110,10
B863,4,16,70,16
B864,24,4,160,9
B865,21,8,120,33
B866,8,13,80,25
B867,13,17,130,9
B868,9,17,160,27
B869,2,1,90,14
B870,17,23,100,18
B871,23,2,150,18
B872,23,8,40,8
B873,14,19,50,20
B874,23,5,140,21
B875,16,23,30,9
B876,12,22,90,11
B877,10,9,90,25
B878,8,12,100,28
B879,16,15,60,26
B880,24,18,60,8
B881,3,24,120,30
B882,15,13,70,22
B883,11,19,120,26
B884,11,22,130,21
B885,2,4,140,9
B886,21,12,140,9
B887,16,4,190,20
B888,21,18,110,17
B889,21,24,160,20
B890,3,15,110,24
B891,1,18,60,23
B892,22,2,40,30
B893,5,9,80,23
B894,15,3,120,10
B895,6,13,190,15
B896,5,11,130,14
B897,1,6,150,26
B898,20,15,70,26
B899,3,9,110,13
B900,21,24,30,25
B901,8,21,220,34
B902,4,21,150,23
B903,6,13,210,24
B904,3,24,230,23
B905,19,11,60,25
B906,18,3,60,29
B907,20,2,150,28
B908,17,22,80,20
B909,17,19,80,15
B910,24,19,70,29
B911,6,23,80,28
B912,13,18,130,16
B913,22,11,110,21
B914,14,8,80,18
B915,1,11,30,18
B916,21,8,220,12
B917,17,15,140,21
B918,14,1,140,31
B919,3,18,140,25
B920,19,15,120,21
B921,6,13,210,19
B922,20,18,30,30
B923,14,1,120,18
B924,17,7,110,20
B925,23,1,30,11
B926,3,5,150,22
B927,13,18,140,10
B928,9,21,30,26
B929,12,15,60,11
B930,6,10,120,30
B931,24,1,60,24
B932,23,1,140,27
B933,4,5,150,17
B934,5,16,100,25
B935,18,7,160,21
B936,3,1,80,24
B937,4,13,140,23
B938,2,19,160,13
B939,22,10,50,20
B940,21,7,60,10
B941,20,24,60,25
B942,12,3,150,14
B943,20,1,130,14
B944,18,3,80,16
B945,8,4,160,13
B946,3,19,80,10
B947,20,5,70,30
B948,5,14,140,28
B949,16,21,30,17
B950,12,19,70,22
B951,4,20,110,30
B952,21,14,40,11
B953,9,8,50,27
B954,14,6,160,12
B955,1,6,130,9
B956,9,16,120,29
B957,12,3,30,30
B958,17,9,30,15
B959,8,13,120,9
B960,13,3,120,16
B961,16,7,160,17
B962,7,2,120,18
B963,16,18,30,25
B964,7,23,160,10
B965,21,12,100,14
B966,12,20,90,28
B967,6,24,80,14
B968,4,16,180,30
B969,1,14,100,35
B970,23,1,120,25
B971,1,12,120,28
B972,6,18,60,17
B973,10,18,160,27
B974,23,14,30,14
B975,15,3,50,9
B976,15,11,70,28
B977,13,12,80,30
B978,14,8,30,29
B979,24,7,110,15
B980,1,14,150,13
B981,7,14,150,13
B982,6,23,130,35
B983,23,20,30,28
B984,6,2,120,12
B985,12,18,90,21
B986,2,8,130,19
B987,23,6,100,13
B988,22,5,100,27
B989,7,16,60,26
B990,17,4,80,29
B991,11,10,120,19
B992,21,3,60,22
B993,2,8,100,14
B994,12,6,30,16
B995,12,15,70,16
B996,19,17,60,12
B997,20,21,80,10
B998,11,20,50,30
B999,10,19,110,9
B1000,6,23,150,29
