bid_id,source,sink,quantity,price,awarded_mw
B59,3,14,140.0,17.0,0.0
B60,8,16,130.0,18.0,130.0
B61,4,16,90.0,26.0,90.0
B62,14,15,110.0,15.0,110.0
B63,4,16,150.0,18.0,150.0
B64,16,21,120.0,8.0,120.0
B65,3,24,130.0,29.0,130.0
B66,3,6,40.0,9.0,28.933090798647438
B67,20,19,120.0,26.0,120.0
B68,4,5,90.0,15.0,90.0
B69,11,15,30.0,13.0,30.0
B70,5,18,100.0,16.0,0.0
B71,12,16,100.0,15.0,100.0
B72,12,22,140.0,18.0,140.0
B73,18,15,130.0,12.0,130.0
B74,22,24,100.0,21.0,20.0
B75,5,10,70.0,14.0,70.0
B76,7,20,70.0,24.0,70.0
B77,19,6,140.0,19.0,140.0
B78,13,6,100.0,34.0,100.0
B79,18,22,60.0,16.0,60.0
B80,1,5,150.0,25.0,150.0
B81,9,1,140.0,10.0,140.0
B82,11,18,70.0,23.0,70.0
B83,13,6,90.0,25.0,90.0
B84,12,9,130.0,16.0,130.0
B85,23,8,150.0,17.0,0.0
B86,21,4,80.0,11.0,0.0
B87,7,24,80.0,18.0,80.0
B88,2,18,70.0,29.0,70.0
B89,1,14,180.0,12.0,0.0
B90,16,24,120.0,26.0,120.0
B91,24,3,130.0,23.0,130.0
B92,3,2,120.0,19.0,120.0
B93,21,22,140.0,8.0,140.0
B94,19,1,40.0,13.0,40.0
B95,21,8,180.0,21.0,180.0
B96,18,14,80.0,28.0,80.0
B97,7,22,50.0,28.0,50.0
B98,20,21,110.0,9.0,110.0
B99,9,19,50.0,30.0,50.0
B100,9,3,140.0,9.0,140.0
B101,24,3,130.0,28.0,130.0
B102,10,23,70.0,14.0,70.0
B103,10,4,50.0,27.0,50.0
B104,16,4,180.0,13.0,15.0
B105,12,24,70.0,29.0,70.0
B106,16,14,100.0,16.0,100.0
B107,24,14,130.0,30.0,130.0
B108,1,4,70.0,18.0,0.0
B109,8,4,80.0,22.0,80.0
B110,2,7,130.0,15.0,0.0
B111,22,10,140.0,15.0,140.0
B112,11,7,110.0,27.0,110.0
B113,1,13,150.0,8.0,0.0
B114,21,8,230.0,21.0,230.0
B115,20,24,130.0,8.0,130.0
B116,10,18,240.0,26.0,240.0
B117,8,21,90.0,25.0,90.0
B118,20,15,70.0,30.0,70.0
B119,22,23,150.0,19.0,150.0
B120,3,2,50.0,23.0,50.0
B121,23,6,150.0,16.0,150.0
B122,12,21,130.0,10.0,39.097855112704885
B123,2,16,60.0,10.0,60.0
B124,23,6,90.0,29.0,90.0
B125,3,24,230.0,26.0,161.8491214096546
B126,4,18,140.0,20.0,140.0
B127,3,24,150.0,16.0,0.0
B128,3,24,180.0,30.0,180.0
B129,20,16,130.0,10.0,130.0
B130,6,13,80.0,17.0,80.0
B131,13,11,90.0,8.0,90.0
B132,15,5,150.0,20.0,150.0
B133,8,21,210.0,17.0,210.0
B134,10,18,170.0,27.0,170.0
B135,22,6,40.0,29.0,40.0
B136,10,3,90.0,25.0,90.0
B137,2,13,130.0,8.0,0.0
B138,11,18,50.0,25.0,50.0
B139,8,21,40.0,29.0,40.0
B140,2,11,120.0,18.0,120.0
B141,1,7,100.0,12.0,0.0
B142,10,13,120.0,13.0,80.70604357226945
B143,20,18,160.0,11.0,160.0
B144,3,24,50.0,11.0,0.0
B145,19,5,160.0,16.0,160.0
B146,16,10,30.0,12.0,30.0
B147,6,13,130.0,16.0,130.0
B148,10,18,170.0,14.0,0.0
B149,5,13,60.0,13.0,0.0
B150,13,5,70.0,27.0,70.0
B151,24,13,110.0,26.0,110.0
B152,8,15,100.0,16.0,100.0
B153,17,19,160.0,21.0,160.0
B154,2,14,120.0,9.0,99.4822485260565
B155,15,16,100.0,20.0,100.0
B156,3,1,150.0,27.0,150.0
B157,14,3,90.0,28.0,90.0
B158,7,3,30.0,20.0,30.0
B159,13,17,90.0,17.0,90.0
B160,21,8,170.0,17.0,0.0
B161,16,2,30.0,26.0,30.0
B162,17,11,110.0,29.0,110.0
B163,6,13,230.0,23.0,230.0
B164,2,7,130.0,28.0,0.0
B165,8,14,80.0,9.0,80.0
B166,6,15,150.0,26.0,150.0
B167,4,1,60.0,20.0,60.0
B168,1,14,100.0,33.0,100.0
B169,22,7,60.0,25.0,0.0
B170,14,13,130.0,28.0,130.0
B171,16,4,160.0,32.0,160.0
B172,16,19,70.0,29.0,70.0
B173,12,6,120.0,8.0,120.0
B174,14,16,100.0,21.0,100.0
B175,12,18,130.0,21.0,130.0
B176,9,21,120.0,8.0,0.0
B177,24,10,150.0,27.0,150.0
B178,1,14,80.0,17.0,80.0
B179,6,16,50.0,18.0,50.0
B180,3,5,120.0,11.0,120.0
B181,24,9,150.0,13.0,150.0
B182,22,24,120.0,27.0,120.0
B183,12,7,160.0,17.0,0.0
B184,16,7,160.0,25.0,160.0
B185,19,2,110.0,24.0,110.0
B186,2,22,60.0,24.0,60.0
B187,9,23,120.0,24.0,120.0
B188,3,24,200.0,22.0,0.0
B189,18,14,150.0,15.0,150.0
B190,21,8,210.0,21.0,165.0
B191,18,7,50.0,12.0,0.0
B192,24,10,70.0,21.0,70.0
B193,13,20,120.0,29.0,120.0
B194,21,8,220.0,14.0,0.0
B195,21,8,240.0,31.0,240.0
B196,8,18,160.0,14.0,160.0
B197,20,17,130.0,16.0,130.0
B198,16,4,210.0,33.0,210.0
B199,21,5,90.0,20.0,90.0
B200,21,8,100.0,34.0,100.0
B201,17,10,70.0,16.0,70.0
B202,14,11,160.0,20.0,160.0
B203,1,14,140.0,28.0,140.0
B204,22,1,130.0,11.0,130.0
B205,4,9,70.0,28.0,70.0
B206,2,16,160.0,9.0,0.0
B207,22,17,40.0,27.0,40.0
B208,1,20,110.0,12.0,0.0
B209,14,8,160.0,25.0,160.0
B210,11,16,70.0,18.0,70.0
B211,5,17,160.0,27.0,160.0
B212,1,14,230.0,23.0,230.0
B213,6,13,90.0,26.0,90.0
B214,18,19,70.0,15.0,70.0
B215,23,15,60.0,16.0,60.0
B216,8,17,100.0,19.0,100.0
B217,22,14,150.0,30.0,150.0
B218,1,14,80.0,33.0,80.0
B219,5,9,140.0,10.0,105.0
B220,3,8,160.0,18.0,0.0
B221,1,20,110.0,14.0,110.0
B222,1,14,100.0,12.0,0.0
B223,24,3,220.0,33.0,220.0
B224,16,4,190.0,14.0,190.0
B225,18,10,60.0,20.0,60.0
B226,22,6,80.0,29.0,80.0
B227,8,21,240.0,30.0,240.0
B228,18,19,60.0,23.0,60.0
B229,20,9,120.0,27.0,120.0
B230,22,13,80.0,17.0,80.0
B231,5,19,140.0,29.0,140.0
B232,3,23,130.0,21.0,130.0
B233,5,2,150.0,14.0,150.0
B234,21,23,140.0,16.0,140.0
B235,14,1,190.0,20.0,190.0
B236,6,23,170.0,23.0,170.0
B237,22,8,150.0,11.0,0.0
B238,12,24,140.0,17.0,140.0
B239,23,3,50.0,23.0,50.0
B240,23,1,40.0,14.0,40.0
B241,16,14,70.0,15.0,70.0
B242,22,19,50.0,22.0,50.0
B243,8,21,110.0,13.0,110.0
B244,14,17,80.0,8.0,56.611072504053624
B245,16,4,90.0,19.0,90.0
B246,22,12,80.0,16.0,80.0
B247,21,8,180.0,12.0,0.0
B248,10,18,120.0,33.0,120.0
B249,1,14,190.0,15.0,163.172166165802
B250,16,11,80.0,26.0,80.0
