bid_id,source,sink,quantity,price,awarded_mw
B59,21,8,190.0,19.0,190.0
B60,8,21,230.0,32.0,230.0
B61,1,2,40.0,21.0,40.0
B62,18,9,30.0,10.0,30.0
B63,24,3,180.0,31.0,180.0
B64,19,18,130.0,11.0,130.0
B65,8,21,180.0,26.0,180.0
B66,23,6,230.0,20.0,230.0
B67,12,16,100.0,15.0,100.0
B68,16,4,180.0,26.0,162.99778729427706
B69,18,15,130.0,12.0,130.0
B70,22,24,100.0,21.0,100.0
B71,5,10,70.0,14.0,70.0
B72,7,20,70.0,24.0,70.0
B73,19,6,140.0,19.0,140.0
B74,13,6,100.0,34.0,100.0
B75,18,22,60.0,16.0,60.0
B76,14,1,160.0,12.0,160.0
B77,11,18,70.0,23.0,70.0
B78,13,6,90.0,25.0,90.0
B79,16,4,160.0,14.0,0.0
B80,8,10,120.0,28.0,120.0
B81,4,12,150.0,11.0,150.0
B82,8,21,180.0,16.0,0.0
B83,10,18,90.0,13.0,0.0
B84,11,1,160.0,23.0,160.0
B85,19,1,80.0,10.0,30.63792418927124
B86,6,13,100.0,13.0,0.0
B87,12,22,40.0,28.0,40.0
B88,1,2,120.0,8.0,120.0
B89,6,2,140.0,15.0,0.0
B90,16,4,210.0,23.0,0.0
B91,15,7,130.0,12.0,130.0
B92,13,20,130.0,25.0,130.0
B93,8,21,120.0,34.0,120.0
B94,9,3,140.0,9.0,67.9704093793779
B95,24,3,130.0,28.0,130.0
B96,10,23,70.0,14.0,70.0
B97,18,10,110.0,12.0,110.0
B98,16,4,90.0,35.0,90.0
B99,10,18,130.0,27.0,130.0
B100,10,18,210.0,33.0,210.0
B101,2,1,40.0,17.0,40.0
B102,24,11,60.0,11.0,60.0
B103,21,8,90.0,18.0,90.0
B104,15,22,70.0,30.0,70.0
B105,21,8,190.0,12.0,190.0
B106,13,1,60.0,25.0,60.0
B107,23,16,70.0,17.0,70.0
B108,24,22,30.0,11.0,30.0
B109,8,21,150.0,24.0,150.0
B110,18,2,90.0,23.0,90.0
B111,21,8,190.0,26.0,190.0
B112,6,13,140.0,24.0,140.0
B113,8,5,140.0,17.0,140.0
B114,3,24,90.0,27.0,90.0
B115,24,3,200.0,30.0,200.0
B116,18,8,120.0,10.0,120.0
B117,16,15,100.0,21.0,100.0
B118,6,23,240.0,34.0,240.0
B119,8,5,30.0,10.0,30.0
B120,16,4,230.0,33.0,230.0
B121,6,13,80.0,17.0,80.0
B122,13,11,90.0,8.0,90.0
B123,15,5,150.0,20.0,150.0
B124,8,21,210.0,17.0,162.82394801388577
B125,10,18,170.0,27.0,170.0
B126,22,6,40.0,29.0,40.0
B127,10,3,90.0,25.0,90.0
B128,2,13,130.0,8.0,130.0
B129,16,4,120.0,29.0,120.0
B130,8,21,40.0,29.0,40.0
B131,2,11,120.0,18.0,120.0
B132,1,7,100.0,12.0,100.0
B133,10,13,120.0,13.0,120.0
B134,20,18,160.0,11.0,140.86314756399014
B135,3,24,50.0,11.0,50.0
B136,6,13,160.0,29.0,160.0
B137,21,8,120.0,26.0,120.0
B138,18,10,160.0,21.0,160.0
B139,8,21,200.0,19.0,200.0
B140,6,23,160.0,31.0,160.0
B141,23,6,150.0,26.0,150.0
B142,23,6,90.0,25.0,90.0
B143,2,4,100.0,23.0,72.00221270572294
B144,13,3,30.0,27.0,30.0
B145,14,3,90.0,28.0,90.0
B146,7,3,30.0,20.0,30.0
B147,13,17,90.0,17.0,90.0
B148,21,8,170.0,17.0,170.0
B149,8,21,240.0,22.0,240.0
B150,2,7,120.0,12.0,75.0
