Bus
Number,Name,Area Name,ETLR,WTLR,1  TO  2 CKT 1,1  TO  3 CKT 1,2  TO  4 CKT 1,2  TO  5 CKT 1,2  TO  6 CKT 1,3  TO  4 CKT 1,4  TO  6 CKT 1,4  TO  12 CKT 1,5  TO  7 CKT 1,6  TO  7 CKT 1,6  TO  8 CKT 1,6  TO  9 CKT 1,6  TO  10 CKT 1,6  TO  28 CKT 1,8  TO  28 CKT 1,9  TO  10 CKT 1,9  TO  11 CKT 1,10  TO  17 CKT 1,10  TO  20 CKT 1,10  TO  21 CKT 1,10  TO  22 CKT 1,12  TO  13 CKT 1,12  TO  14 CKT 1,12  TO  15 CKT 1,12  TO  16 CKT 1,14  TO  15 CKT 1,15  TO  18 CKT 1,15  TO  23 CKT 1,16  TO  17 CKT 1,18  TO  19 CKT 1,19  TO  20 CKT 1,21  TO  22 CKT 1,22  TO  24 CKT 1,23  TO  24 CKT 1,24  TO  25 CKT 1,25  TO  26 CKT 1,25  TO  27 CKT 1,28  TO  27 CKT 1,27  TO  29 CKT 1,27  TO  30 CKT 1,29  TO  30 CKT 1
11,Roanoke,1,-4.0340,-10.6654,-0.6389,-0.3611,-0.2106,-0.1319,-0.2964,-0.3611,-0.3785,-0.1932,-0.1319,0.1319,-0.0119,-0.6010,-0.1459,-0.0481,-0.0119,0.3990,-1.0000,0.0995,0.0606,0.0562,0.0369,0.0000,-0.0208,-0.0728,-0.0995,-0.0208,-0.0606,-0.0331,-0.0995,-0.0606,-0.0606,0.0562,0.0931,-0.0331,0.0600,0.0000,0.0600,-0.0600,0.0000,0.0000,0.0000
12,Hancock,1,-2.6043,-9.7736,-0.6138,-0.3862,-0.2484,-0.1125,-0.2529,-0.3862,-0.0351,-0.5994,-0.1125,0.1125,-0.0152,-0.2062,-0.1180,-0.0613,-0.0152,-0.2062,0.0000,-0.1817,-0.1028,-0.0239,-0.0157,0.0000,0.0487,0.1702,0.1817,0.0487,0.1028,0.1160,0.1817,0.1028,0.1028,-0.0239,-0.0396,0.1160,0.0764,0.0000,0.0764,-0.0764,0.0000,0.0000,0.0000
13,Hancock,1,-3.6043,-10.1964,-0.6138,-0.3862,-0.2484,-0.1125,-0.2529,-0.3862,-0.0351,-0.5994,-0.1125,0.1125,-0.0152,-0.2062,-0.1180,-0.0613,-0.0152,-0.2062,0.0000,-0.1817,-0.1028,-0.0239,-0.0157,-1.0000,0.0487,0.1702,0.1817,0.0487,0.1028,0.1160,0.1817,0.1028,0.1028,-0.0239,-0.0396,0.1160,0.0764,0.0000,0.0764,-0.0764,0.0000,0.0000,0.0000
14,Bus 14,1,-3.1501,-10.3505,-0.6167,-0.3833,-0.2440,-0.1147,-0.2579,-0.3833,-0.0744,-0.5530,-0.1147,0.1147,-0.0179,-0.2269,-0.1298,-0.0724,-0.0179,-0.2269,0.0000,-0.1395,-0.1475,-0.0420,-0.0276,0.0000,-0.4949,-0.1976,0.1395,0.5051,0.1475,0.1600,0.1395,0.1475,0.1475,-0.0420,-0.0696,0.1600,0.0904,0.0000,0.0904,-0.0904,0.0000,0.0000,0.0000
15,Bus 15,1,-3.7956,-10.6135,-0.6189,-0.3811,-0.2407,-0.1165,-0.2618,-0.3811,-0.1050,-0.5168,-0.1165,0.1165,-0.0201,-0.2430,-0.1390,-0.0812,-0.0201,-0.2430,0.0000,-0.1066,-0.1823,-0.0561,-0.0369,0.0000,-0.1387,-0.4847,0.1066,-0.1387,0.1823,0.1943,0.1066,0.1823,0.1823,-0.0561,-0.0930,0.1943,0.1013,0.0000,0.1013,-0.1013,0.0000,0.0000,0.0000
16,Bus 16,1,-3.7358,-10.4072,-0.6221,-0.3779,-0.2359,-0.1189,-0.2673,-0.3779,-0.1488,-0.4650,-0.1189,0.1189,-0.0167,-0.2868,-0.1640,-0.0675,-0.0167,-0.2868,0.0000,-0.4634,-0.0231,0.0215,0.0141,0.0000,0.0159,0.0557,-0.5366,0.0159,0.0231,0.0485,0.4634,0.0231,0.0231,0.0215,0.0357,0.0485,0.0842,0.0000,0.0842,-0.0842,0.0000,0.0000,0.0000
17,Bus 17,1,-4.8630,-10.8705,-0.6302,-0.3698,-0.2238,-0.1251,-0.2813,-0.3698,-0.2588,-0.3348,-0.1251,0.1251,-0.0182,-0.3648,-0.2086,-0.0736,-0.0182,-0.3648,0.0000,-0.7361,0.0541,0.0655,0.0430,0.0000,-0.0158,-0.0551,-0.2639,-0.0158,-0.0541,-0.0168,-0.2639,-0.0541,-0.0541,0.0655,0.1086,-0.0168,0.0918,0.0000,0.0918,-0.0918,0.0000,0.0000,0.0000
18,Bus 18,1,-4.8387,-11.0131,-0.6241,-0.3759,-0.2329,-0.1204,-0.2707,-0.3759,-0.1757,-0.4331,-0.1204,0.1204,-0.0197,-0.2976,-0.1702,-0.0794,-0.0197,-0.2976,0.0000,-0.0189,-0.4375,-0.0068,-0.0045,0.0000,-0.1006,-0.3515,0.0189,-0.1006,-0.5625,0.1104,0.0189,0.4375,0.4375,-0.0068,-0.0113,0.1104,0.0991,0.0000,0.0991,-0.0991,0.0000,0.0000,0.0000
19,Bus 19,1,-5.8642,-11.2162,-0.6272,-0.3728,-0.2283,-0.1228,-0.2760,-0.3728,-0.2175,-0.3837,-0.1228,0.1228,-0.0194,-0.3298,-0.1886,-0.0784,-0.0194,-0.3298,0.0000,0.0329,-0.5884,0.0223,0.0147,0.0000,-0.0780,-0.2727,-0.0329,-0.0780,-0.4116,0.0608,-0.0329,-0.4116,0.5884,0.0223,0.0370,0.0608,0.0978,0.0000,0.0978,-0.0978,0.0000,0.0000,0.0000
20,Bus 20,1,-4.8776,-10.9723,-0.6288,-0.3712,-0.2259,-0.1240,-0.2788,-0.3712,-0.2395,-0.3577,-0.1240,0.1240,-0.0193,-0.3468,-0.1984,-0.0779,-0.0193,-0.3468,0.0000,0.0602,-0.6679,0.0377,0.0248,0.0000,-0.0662,-0.2312,-0.0602,-0.0662,-0.3321,0.0347,-0.0602,-0.3321,-0.3321,0.0377,0.0624,0.0347,0.0972,0.0000,0.0972,-0.0972,0.0000,0.0000,0.0000
21,Bus 21,1,-5.2661,-11.3502,-0.6333,-0.3667,-0.2191,-0.1275,-0.2867,-0.3667,-0.3015,-0.2843,-0.1275,0.1275,-0.0236,-0.3795,-0.2171,-0.0955,-0.0236,-0.3795,0.0000,0.1270,0.0711,-0.5746,-0.2201,0.0000,-0.0350,-0.1223,-0.1270,-0.0350,-0.0711,-0.0862,-0.1270,-0.0711,-0.0711,0.4254,0.2053,-0.0862,0.1191,0.0000,0.1191,-0.1191,0.0000,0.0000,0.0000
22,Bus 22,1,-4.3756,-11.2192,-0.6332,-0.3668,-0.2193,-0.1274,-0.2864,-0.3668,-0.2997,-0.2864,-0.1274,0.1274,-0.0251,-0.3734,-0.2135,-0.1015,-0.0251,-0.3734,0.0000,0.1216,0.0658,-0.4673,-0.3070,0.0000,-0.0367,-0.1281,-0.1216,-0.0367,-0.0658,-0.0990,-0.1216,-0.0658,-0.0658,-0.4673,0.2257,-0.0990,0.1267,0.0000,0.1267,-0.1267,0.0000,0.0000,0.0000
23,Bus 23,1,-4.6933,-11.0223,-0.6243,-0.3757,-0.2326,-0.1206,-0.2711,-0.3757,-0.1787,-0.4295,-0.1206,0.1206,-0.0303,-0.2657,-0.1520,-0.1225,-0.0303,-0.2657,0.0000,-0.0380,-0.1048,-0.1659,-0.1090,0.0000,-0.1040,-0.3635,0.0380,-0.1040,0.1048,-0.5723,0.0380,0.1048,0.1048,-0.1659,-0.2749,0.4277,0.1528,0.0000,0.1528,-0.1528,0.0000,0.0000,0.0000
24,Bus 24,1,-5.5567,-11.3465,-0.6315,-0.3685,-0.2218,-0.1262,-0.2836,-0.3685,-0.2774,-0.3128,-0.1262,0.1262,-0.0440,-0.2961,-0.1694,-0.1777,-0.0440,-0.2961,0.0000,0.0538,-0.0011,-0.3126,-0.2054,0.0000,-0.0577,-0.2014,-0.0538,-0.0577,0.0011,-0.2602,-0.0538,0.0011,0.0011,-0.3126,-0.5181,-0.2602,0.2217,0.0000,0.2217,-0.2217,0.0000,0.0000,0.0000
25,Bus 25,1,-4.7232,-11.2994,-0.6373,-0.3627,-0.2131,-0.1306,-0.2936,-0.3627,-0.3565,-0.2192,-0.1306,0.1306,-0.0953,-0.1911,-0.1093,-0.3852,-0.0953,-0.1911,0.0000,0.0408,0.0021,-0.2072,-0.1361,0.0000,-0.0397,-0.1387,-0.0408,-0.0397,-0.0021,-0.1762,-0.0408,-0.0021,-0.0021,-0.2072,-0.3433,-0.1762,-0.5195,0.0000,0.4805,-0.4805,0.0000,0.0000,0.0000
26,Bus 26,1,-5.7232,-11.4691,-0.6373,-0.3627,-0.2131,-0.1306,-0.2936,-0.3627,-0.3565,-0.2192,-0.1306,0.1306,-0.0953,-0.1911,-0.1093,-0.3852,-0.0953,-0.1911,0.0000,0.0408,0.0021,-0.2072,-0.1361,0.0000,-0.0397,-0.1387,-0.0408,-0.0397,-0.0021,-0.1762,-0.0408,-0.0021,-0.0021,-0.2072,-0.3433,-0.1762,-0.5195,-1.0000,0.4805,-0.4805,0.0000,0.0000,0.0000
27,Cloverdl,1,-3.8288,-11.1376,-0.6410,-0.3590,-0.2076,-0.1335,-0.3000,-0.3590,-0.4067,-0.1598,-0.1335,0.1335,-0.1279,-0.1245,-0.0712,-0.5167,-0.1279,-0.1245,0.0000,0.0326,0.0042,-0.1403,-0.0922,0.0000,-0.0283,-0.0989,-0.0326,-0.0283,-0.0042,-0.1230,-0.0326,-0.0042,-0.0042,-0.1403,-0.2325,-0.1230,-0.3554,0.0000,-0.3554,-0.6446,0.0000,0.0000,0.0000
28,Cloverdl,1,-3.0291,-10.4467,-0.6480,-0.3520,-0.1971,-0.1388,-0.3121,-0.3520,-0.5020,-0.0471,-0.1388,0.1388,-0.1897,0.0019,0.0011,-0.7662,-0.1897,0.0019,0.0000,0.0171,0.0081,-0.0134,-0.0088,0.0000,-0.0067,-0.0234,-0.0171,-0.0067,-0.0081,-0.0219,-0.0171,-0.0081,-0.0081,-0.0134,-0.0222,-0.0219,-0.0441,0.0000,-0.0441,0.0441,0.0000,0.0000,0.0000
29,Bus 29,1,-4.5465,-11.3605,-0.6410,-0.3590,-0.2076,-0.1335,-0.3000,-0.3590,-0.4067,-0.1598,-0.1335,0.1335,-0.1279,-0.1245,-0.0712,-0.5167,-0.1279,-0.1245,0.0000,0.0326,0.0042,-0.1403,-0.0922,0.0000,-0.0283,-0.0989,-0.0326,-0.0283,-0.0042,-0.1230,-0.0326,-0.0042,-0.0042,-0.1403,-0.2325,-0.1230,-0.3554,0.0000,-0.3554,-0.6446,-0.7177,-0.2823,0.2823
30,Bus 30,1,-5.2384,-11.4746,-0.6410,-0.3590,-0.2076,-0.1335,-0.3000,-0.3590,-0.4067,-0.1598,-0.1335,0.1335,-0.1279,-0.1245,-0.0712,-0.5167,-0.1279,-0.1245,0.0000,0.0326,0.0042,-0.1403,-0.0922,0.0000,-0.0283,-0.0989,-0.0326,-0.0283,-0.0042,-0.1230,-0.0326,-0.0042,-0.0042,-0.1403,-0.2325,-0.1230,-0.3554,0.0000,-0.3554,-0.6446,-0.4096,-0.5904,-0.4096
