Bus
Number,Name,Area Name,ETLR,WTLR,1  TO  2 CKT 1,1  TO  39 CKT 1,2  TO  3 CKT 1,2  TO  25 CKT 1,2  TO  30 CKT 1,3  TO  4 CKT 1,3  TO  18 CKT 1,4  TO  5 CKT 1,4  TO  14 CKT 1,5  TO  6 CKT 1,5  TO  8 CKT 1,6  TO  7 CKT 1,6  TO  11 CKT 1,31  TO  6 CKT 1,7  TO  8 CKT 1,8  TO  9 CKT 1,9  TO  39 CKT 1,10  TO  11 CKT 1,10  TO  13 CKT 1,10  TO  32 CKT 1,12  TO  11 CKT 1,12  TO  13 CKT 1,13  TO  14 CKT 1,14  TO  15 CKT 1,15  TO  16 CKT 1,16  TO  17 CKT 1,16  TO  19 CKT 1,16  TO  21 CKT 1,16  TO  24 CKT 1,17  TO  18 CKT 1,17  TO  27 CKT 1,19  TO  20 CKT 1,19  TO  33 CKT 1,20  TO  34 CKT 1,21  TO  22 CKT 1,22  TO  23 CKT 1,22  TO  35 CKT 1,23  TO  24 CKT 1,23  TO  36 CKT 1,25  TO  26 CKT 1,25  TO  37 CKT 1,26  TO  27 CKT 1,26  TO  28 CKT 1,26  TO  29 CKT 1,28  TO  29 CKT 1,29  TO  38 CKT 1
11,11,1,-0.0562,-1.2150,-0.0160,0.0160,-0.0085,-0.0075,0.0000,0.0111,-0.0196,0.1459,-0.1348,0.1401,0.0057,-0.0217,-0.8381,-1.0000,-0.0217,-0.0160,-0.0160,-0.1473,0.1473,0.0000,-0.0146,0.0146,0.1619,0.0271,0.0271,0.0271,0.0000,0.0000,0.0000,0.0196,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0075,0.0000,-0.0075,0.0000,0.0000,0.0000,0.0000
12,12,1,-1.0830,-1.4017,-0.0236,0.0236,-0.0125,-0.0111,0.0000,0.0163,-0.0289,0.2155,-0.1991,0.2070,0.0085,-0.0321,-0.7609,-1.0000,-0.0321,-0.0236,-0.0236,0.2374,-0.2374,0.0000,0.5235,0.4765,0.2391,0.0400,0.0400,0.0400,0.0000,0.0000,0.0000,0.0289,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0111,0.0000,-0.0111,0.0000,0.0000,0.0000,0.0000
13,13,1,-0.1098,-1.2918,-0.0313,0.0313,-0.0166,-0.0147,0.0000,0.0216,-0.0382,0.2851,-0.2635,0.2739,0.0112,-0.0425,-0.6836,-1.0000,-0.0425,-0.0313,-0.0313,0.6221,-0.6221,0.0000,0.0615,-0.0615,0.3164,0.0529,0.0529,0.0529,0.0000,0.0000,0.0000,0.0382,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0147,0.0000,-0.0147,0.0000,0.0000,0.0000,0.0000
14,14,1,-1.1790,-2.6081,-0.0510,0.0510,-0.0270,-0.0240,0.0000,0.0353,-0.0623,0.4648,-0.4295,0.4465,0.0183,-0.0693,-0.4842,-1.0000,-0.0693,-0.0510,-0.0510,0.4407,-0.4407,0.0000,0.0436,-0.0436,-0.4842,0.0863,0.0863,0.0863,0.0000,0.0000,0.0000,0.0623,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0240,0.0000,-0.0240,0.0000,0.0000,0.0000,0.0000
15,15,1,-1.4529,-2.9788,-0.0910,0.0910,-0.0109,-0.0801,0.0000,0.2532,-0.2641,0.4964,-0.2432,0.4952,0.0013,-0.0923,-0.4126,-1.0000,-0.0923,-0.0910,-0.0910,0.3755,-0.3755,0.0000,0.0371,-0.0371,-0.4126,-0.6558,0.3442,0.3442,0.0000,0.0000,0.0000,0.2641,0.0801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0801,0.0000,-0.0801,0.0000,0.0000,0.0000,0.0000
16,16,1,-0.1384,-2.0291,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,0.0000,0.0000,0.3515,0.1045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
17,17,1,-0.8406,-2.7516,-0.1248,0.1248,0.0027,-0.1275,0.0000,0.4369,-0.4342,0.5231,-0.0861,0.5362,-0.0131,-0.1117,-0.3522,-1.0000,-0.1117,-0.1248,-0.1248,0.3205,-0.3205,0.0000,0.0317,-0.0317,-0.3522,-0.4383,-0.4383,-0.4383,0.0000,0.0000,0.0000,0.4342,0.1275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1275,0.0000,-0.1275,0.0000,0.0000,0.0000,0.0000
18,18,1,-1.5614,-3.4147,-0.1302,0.1302,-0.0619,-0.0683,0.0000,0.5077,-0.5696,0.5372,-0.0294,0.5517,-0.0145,-0.1157,-0.3326,-1.0000,-0.1157,-0.1302,-0.1302,0.3027,-0.3027,0.0000,0.0299,-0.0299,-0.3326,-0.3620,-0.3620,-0.3620,0.0000,0.0000,0.0000,-0.4304,0.0683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0683,0.0000,-0.0683,0.0000,0.0000,0.0000,0.0000
19,19,1,0.8616,-0.5348,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,-1.0000,0.0000,0.0000,0.3515,0.1045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
20,20,1,-0.1384,-1.1096,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,-1.0000,0.0000,0.0000,0.3515,0.1045,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
21,21,1,1.0347,-1.1687,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.8269,-0.1731,0.3515,0.1045,0.0000,0.0000,0.0000,0.1731,0.1731,0.0000,0.1731,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
22,22,1,2.2141,0.5841,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.6474,-0.3526,0.3515,0.1045,0.0000,0.0000,0.0000,-0.6474,0.3526,0.0000,0.3526,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
23,23,1,1.3372,0.1663,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.5244,-0.4756,0.3515,0.1045,0.0000,0.0000,0.0000,-0.5244,-0.5244,0.0000,0.4756,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
24,24,1,0.7859,-1.6415,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.0756,-0.9244,0.3515,0.1045,0.0000,0.0000,0.0000,-0.0756,-0.0756,0.0000,-0.0756,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
25,25,1,0.1208,-1.6260,-0.2005,0.2005,0.5573,-0.7578,0.0000,0.5276,0.0297,0.5063,0.0213,0.5589,-0.0526,-0.1480,-0.2932,-1.0000,-0.1480,-0.2005,-0.2005,0.2668,-0.2668,0.0000,0.0264,-0.0264,-0.2932,-0.2719,-0.2719,-0.2719,0.0000,0.0000,0.0000,-0.0297,-0.2422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2422,0.0000,0.2422,0.0000,0.0000,0.0000,0.0000
26,26,1,-0.8598,-1.9106,-0.1625,0.1625,0.2787,-0.4412,0.0000,0.4821,-0.2033,0.5147,-0.0327,0.5475,-0.0327,-0.1297,-0.3228,-1.0000,-0.1297,-0.1625,-0.1625,0.2938,-0.2938,0.0000,0.0290,-0.0290,-0.3228,-0.3555,-0.3555,-0.3555,0.0000,0.0000,0.0000,0.2033,-0.5588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4412,0.0000,0.5588,0.0000,0.0000,0.0000,0.0000
27,27,1,-1.8510,-2.8201,-0.1452,0.1452,0.1519,-0.2971,0.0000,0.4613,-0.3094,0.5186,-0.0572,0.5423,-0.0237,-0.1214,-0.3363,-1.0000,-0.1214,-0.1452,-0.1452,0.3060,-0.3060,0.0000,0.0303,-0.0303,-0.3363,-0.3935,-0.3935,-0.3935,0.0000,0.0000,0.0000,0.3094,-0.7029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2971,0.0000,-0.2971,0.0000,0.0000,0.0000,0.0000
28,28,1,-0.2390,-1.7716,-0.1625,0.1625,0.2787,-0.4412,0.0000,0.4821,-0.2033,0.5147,-0.0327,0.5475,-0.0327,-0.1297,-0.3228,-1.0000,-0.1297,-0.1625,-0.1625,0.2938,-0.2938,0.0000,0.0290,-0.0290,-0.3228,-0.3555,-0.3555,-0.3555,0.0000,0.0000,0.0000,0.2033,-0.5588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4412,0.0000,0.5588,-0.6208,-0.3792,0.3792,0.0000
29,29,1,0.6402,-0.7317,-0.1625,0.1625,0.2787,-0.4412,0.0000,0.4821,-0.2033,0.5147,-0.0327,0.5475,-0.0327,-0.1297,-0.3228,-1.0000,-0.1297,-0.1625,-0.1625,0.2938,-0.2938,0.0000,0.0290,-0.0290,-0.3228,-0.3555,-0.3555,-0.3555,0.0000,0.0000,0.0000,0.2033,-0.5588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4412,0.0000,0.5588,-0.5000,-0.5000,-0.5000,0.0000
30,30,1,0.1156,-1.6314,-0.2106,0.2106,0.6315,0.1579,-1.0000,0.5397,0.0917,0.5041,0.0357,0.5619,-0.0578,-0.1528,-0.2853,-1.0000,-0.1528,-0.2106,-0.2106,0.2596,-0.2596,0.0000,0.0257,-0.0257,-0.2853,-0.2496,-0.2496,-0.2496,0.0000,0.0000,0.0000,-0.0917,-0.1579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1579,0.0000,0.1579,0.0000,0.0000,0.0000,0.0000
31,31,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,32,1,1.9170,2.0030,-0.0236,0.0236,-0.0125,-0.0111,0.0000,0.0163,-0.0289,0.2155,-0.1991,0.2070,0.0085,-0.0321,-0.7609,-1.0000,-0.0321,-0.0236,-0.0236,0.7374,0.2626,-1.0000,0.0235,-0.0235,0.2391,0.0400,0.0400,0.0400,0.0000,0.0000,0.0000,0.0289,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0111,0.0000,-0.0111,0.0000,0.0000,0.0000,0.0000
33,33,1,1.8616,1.5558,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,-1.0000,0.0000,0.0000,0.3515,0.1045,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
34,34,1,0.8616,0.6308,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,-1.0000,0.0000,0.0000,0.3515,0.1045,-1.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
35,35,1,3.2141,2.7907,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.6474,-0.3526,0.3515,0.1045,0.0000,0.0000,0.0000,-0.6474,0.3526,-1.0000,0.3526,0.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
36,36,1,2.3372,2.0241,-0.1084,0.1084,-0.0039,-0.1045,0.0000,0.3476,-0.3515,0.5101,-0.1625,0.5162,-0.0061,-0.1022,-0.3815,-1.0000,-0.1022,-0.1084,-0.1084,0.3472,-0.3472,0.0000,0.0343,-0.0343,-0.3815,-0.5441,-0.5441,0.4559,0.0000,-0.5244,-0.4756,0.3515,0.1045,0.0000,0.0000,0.0000,-0.5244,-0.5244,0.0000,0.4756,-1.0000,-0.1045,0.0000,-0.1045,0.0000,0.0000,0.0000,0.0000
37,37,1,1.1208,0.1741,-0.2005,0.2005,0.5573,-0.7578,0.0000,0.5276,0.0297,0.5063,0.0213,0.5589,-0.0526,-0.1480,-0.2932,-1.0000,-0.1480,-0.2005,-0.2005,0.2668,-0.2668,0.0000,0.0264,-0.0264,-0.2932,-0.2719,-0.2719,-0.2719,0.0000,0.0000,0.0000,-0.0297,-0.2422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2422,-1.0000,0.2422,0.0000,0.0000,0.0000,0.0000
38,38,1,1.6402,2.0009,-0.1625,0.1625,0.2787,-0.4412,0.0000,0.4821,-0.2033,0.5147,-0.0327,0.5475,-0.0327,-0.1297,-0.3228,-1.0000,-0.1297,-0.1625,-0.1625,0.2938,-0.2938,0.0000,0.0290,-0.0290,-0.3228,-0.3555,-0.3555,-0.3555,0.0000,0.0000,0.0000,0.2033,-0.5588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4412,0.0000,0.5588,-0.5000,-0.5000,-0.5000,-1.0000
39,39,1,-1.9434,-3.6820,0.3983,-0.3983,0.3183,0.0800,0.0000,0.2706,0.0477,0.2421,0.0286,0.5201,-0.2780,-0.3236,-0.1562,-1.0000,-0.3236,-0.6017,-0.6017,0.1422,-0.1422,0.0000,0.0141,-0.0141,-0.1562,-0.1277,-0.1277,-0.1277,0.0000,0.0000,0.0000,-0.0477,-0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000,0.0800,0.0000,0.0000,0.0000,0.0000
